Tandem, Singleword
0.656595363266584, 0.5871424058544247
0.6402946834148779, 0.5873097322493229
0.669636382359826, 0.5947708301716174
0.6506543811532887, 0.557108182671884
0.6640618966817916, 0.6139170812901011
0.6717337287371545, 0.5905177523326661
0.6803554351215771, 0.5578818720609324
0.6310153155226027, 0.5680845695092804
0.6769507137639181, 0.5978108591336644
0.6399044199081182, 0.5840962146899404
0.6725327713517497, 0.610871481174092
0.6656975388509367, 0.5728657865507477
0.601186094931201, 0.5790900434464032
0.6275522463032362, 0.5785190096014717
0.647532488754163, 0.5796413152074674
0.6313129329729993, 0.5830964579077171
0.6603834841585194, 0.5782764796658901
0.6923431595946477, 0.5784276964774927
0.6675870758152995, 0.5665258846450422
0.6550205589540014, 0.5763567676430874
