,Actual Classification Accuracy,Predicted Accuracy,lang,dim
0,0.3233333333,0.3532451561065036,IT,100
1,0.241,0.43679129528950134,IT,200
2,0.6833333333,0.6807766385849471,IT,100
3,0.682,0.5989670778759151,IT,200
4,0.4606666667,0.4517641482407682,IT,100
5,0.431,0.4557918899302549,IT,200
6,0.675,0.7212442564806768,IT,100
7,0.716,0.6411361259157515,IT,200
8,0.4706666667,0.5619061010213658,DA,100
9,0.524,0.6152025793454399,DA,200
10,0.7013333333,0.696751963592632,DA,100
11,0.7056666667,0.6020274105865882,DA,200
12,0.6093333333,0.47278186051298837,DA,100
13,0.6133333333,0.5008187925512794,DA,200
14,0.74,0.818342730995208,DA,100
15,0.751,0.7201186395701791,DA,200
