clwe,refine,language,accuracy
PROC,Original,ES,49.0
PROC,Original,RU,52.2
PROC,Original,ZH,35.2
PROC,Original,FR,56.0
PROC,Original,IT,55.3
PROC,Original,DE,59.0
PROC,Original,JA,21.5
PROC,Original,AVG,46.9
PROC,+retrofit,ES,63.7
PROC,+retrofit,RU,54.8
PROC,+retrofit,ZH,36.1
PROC,+retrofit,FR,65.6
PROC,+retrofit,IT,62.9
PROC,+retrofit,DE,59.9
PROC,+retrofit,JA,20.6
PROC,+retrofit,AVG,51.9
PROC,+synthetic,ES,70.4
PROC,+synthetic,RU,56.4
PROC,+synthetic,ZH,37.3
PROC,+synthetic,FR,67.9
PROC,+synthetic,IT,70.9
PROC,+synthetic,DE,62.1
PROC,+synthetic,JA,20.1
PROC,+synthetic,AVG,55.0
CCA,Original,ES,64.2
CCA,Original,RU,54.9
CCA,Original,ZH,34.7
CCA,Original,FR,64.0
CCA,Original,IT,63.4
CCA,Original,DE,57.4
CCA,Original,JA,19.4
CCA,Original,AVG,51.1
CCA,+retrofit,ES,68.8
CCA,+retrofit,RU,55.7
CCA,+retrofit,ZH,37.1
CCA,+retrofit,FR,67.1
CCA,+retrofit,IT,67.3
CCA,+retrofit,DE,58.8
CCA,+retrofit,JA,19.8
CCA,+retrofit,AVG,53.3
CCA,+synthetic,ES,70.4
CCA,+synthetic,RU,56.1
CCA,+synthetic,ZH,37.7
CCA,+synthetic,FR,69.3
CCA,+synthetic,IT,71.5
CCA,+synthetic,DE,60.6
CCA,+synthetic,JA,18.9
CCA,+synthetic,AVG,54.9
RCSLS,Original,ES,49.8
RCSLS,Original,RU,52.7
RCSLS,Original,ZH,35.8
RCSLS,Original,FR,56.3
RCSLS,Original,IT,56.9
RCSLS,Original,DE,58.8
RCSLS,Original,JA,20.9
RCSLS,Original,AVG,47.3
RCSLS,+retrofit,ES,62.6
RCSLS,+retrofit,RU,55.0
RCSLS,+retrofit,ZH,32.2
RCSLS,+retrofit,FR,65.4
RCSLS,+retrofit,IT,63.6
RCSLS,+retrofit,DE,50.4
RCSLS,+retrofit,JA,21.0
RCSLS,+retrofit,AVG,50.0
RCSLS,+synthetic,ES,69.5
RCSLS,+synthetic,RU,56.2
RCSLS,+synthetic,ZH,38.1
RCSLS,+synthetic,FR,68.6
RCSLS,+synthetic,IT,70.9
RCSLS,+synthetic,DE,62.5
RCSLS,+synthetic,JA,20.4
RCSLS,+synthetic,AVG,55.2
