time,model,users
24.0,med_il,1
32.0,med_il,2
32.0,med_il,3
33.0,med_il,4
35.0,med_il,5
39.0,med_il,6
40.0,med_il,7
44.0,med_il,8
48.0,med_il,9
51.0,med_il,10
65.0,med_il,11
11.0,med_si,1
14.0,med_si,2
14.0,med_si,3
15.0,med_si,4
24.0,med_si,5
26.0,med_si,6
29.0,med_si,7
30.0,med_si,8
30.0,med_si,9
32.0,med_si,10
35.0,med_si,11
36.0,med_si,12
37.0,med_si,13
41.0,med_si,14
45.0,med_si,15
50.0,med_si,16
51.0,med_si,17
51.0,med_si,18
53.0,med_si,19
55.0,med_si,20
59.0,med_si,21
59.0,med_si,22
62.0,med_si,23
66.0,med_si,24
68.0,med_si,25
34.0,med_ti,1
27.0,med_ug,1
10.0,med_si_cca,1
14.0,med_si_cca,2
18.0,med_si_cca,3
19.0,med_si_cca,4
24.0,med_si_cca,5
28.0,med_si_cca,6
29.0,med_si_cca,7
29.0,med_si_cca,8
29.0,med_si_cca,9
31.0,med_si_cca,10
33.0,med_si_cca,11
33.0,med_si_cca,12
35.0,med_si_cca,13
36.0,med_si_cca,14
37.0,med_si_cca,15
39.0,med_si_cca,16
39.0,med_si_cca,17
40.0,med_si_cca,18
41.0,med_si_cca,19
42.0,med_si_cca,20
46.0,med_si_cca,21
56.0,med_si_cca,22
57.0,med_si_cca,23
60.0,med_si_cca,24
63.0,med_si_cca,25
68.0,med_si_cca,26
